temperature,G alpha,G beta
0,-3.1347776129726106,-3.1018282983542984
1,-3.136743898672482,-3.103430253643353
2,-3.1459430057722075,-3.1101945353577207
3,-3.156675675196094,-3.1170837233593236
4,-3.1693779687356036,-3.1248140791654158
5,-3.183830535474217,-3.1336089827487643
6,-3.199629433962057,-3.1424501550615096
7,-3.215865645548064,-3.150989761306242
8,-3.2323083942845114,-3.159960018789722
9,-3.248546281871169,-3.1692392443730166
10,-3.2658074828659713,-3.1785562551400224
11,-3.2839855335315584,-3.1876109221088726
12,-3.301706387442192,-3.1963116025299834
13,-3.320415343687119,-3.2051667164854805
14,-3.3394893807220147,-3.2143829630863223
15,-3.3583360668535325,-3.2237259559080123
16,-3.3785020184643355,-3.233143414517413
17,-3.399834784630055,-3.2424706509960397
18,-3.420871764889626,-3.251661258683368
19,-3.440540891896022,-3.260975325446962
20,-3.4595376116821064,-3.270387230761988
21,-3.4784828103344134,-3.279838651027244
22,-3.497441077915903,-3.2893363787601166
23,-3.5169817386119675,-3.298828529530183
24,-3.537062796850695,-3.308261951596758
25,-3.5578714663419704,-3.317797465373765
26,-3.5786732096778247,-3.327529886056714
27,-3.5990951893999577,-3.337258763620558
28,-3.6205884158144834,-3.3469678205925515
29,-3.642166781594886,-3.3567089000670953
30,-3.6628081316501264,-3.366569638486626
31,-3.6829555898458564,-3.376268364584072
32,-3.704089498785411,-3.385889236334679
33,-3.7257594111184344,-3.3957014258918177
34,-3.747070420720003,-3.405316888583544
35,-3.768143837440142,-3.4149899190849275
36,-3.789123822317148,-3.4247478761101124
37,-3.8113074634602966,-3.434638858882581
38,-3.8334131659882935,-3.444441170498752
39,-3.8558122852729957,-3.4539699830644537
40,-3.8789158685295657,-3.463556986277232
41,-3.901449521579283,-3.47311744895462
42,-3.9234212274172013,-3.4825990023537563
43,-3.9452700970574437,-3.492046418337362
44,-3.96724360113748,-3.5016840670814067
45,-3.9890631872471767,-3.5114364487842806
46,-4.010736873955731,-3.5210065526968974
47,-4.031967330635555,-3.5304406392790453
48,-4.0540611005281475,-3.539976154592625
49,-4.077283277706645,-3.5495656939319282
50,-4.099866001560784,-3.5591043495436705
51,-4.121524965281045,-3.5687501848529686
52,-4.144125716613289,-3.578437891019759
53,-4.166762250529447,-3.587954694072995
54,-4.189185771419562,-3.597695202376936
55,-4.213277219896235,-3.6075145704589975
56,-4.237773651615112,-3.6171617168355086
57,-4.260317217267196,-3.626773648336781
58,-4.281776007278276,-3.6364662442675773
59,-4.304240749089835,-3.6461608383907893
60,-4.327922775240211,-3.6558928676151954
61,-4.351058292779744,-3.665466820985623
62,-4.373791983464858,-3.6751255813733654
63,-4.397381734122657,-3.684856246208039
64,-4.4212385723794965,-3.694511386874893
65,-4.444729059867046,-3.7043982529985384
66,-4.468110340915244,-3.7142239644454023
67,-4.491680519904262,-3.723936959828606
68,-4.515191446340805,-3.7336193367513735
69,-4.538869379911954,-3.7433333224167518
70,-4.562037039736243,-3.7531243159120264
71,-4.584514295353502,-3.7628342312602983
72,-4.607907957900695,-3.772597665412002
73,-4.6312485088772695,-3.782335526489181
74,-4.6535492863168635,-3.7919701159100327
75,-4.676540935658142,-3.8017655344115706
76,-4.699690946086386,-3.8114465611383075
77,-4.722034520751196,-3.821257720773959
78,-4.744685327252259,-3.830920540560639
