temperature,energy,error
1,-3.10163222321,1.499468574906681e-06
2,-3.10137393346,1.8446530318582795e-06
3,-3.1011154450566663,2.5679177283035973e-06
4,-3.100854509666666,4.7439840254492855e-06
5,-3.100594778563333,6.46554775147468e-06
6,-3.1003385376100003,4.884798057686525e-06
7,-3.1000766783633336,6.297725043575577e-06
8,-3.0998178049866665,8.136852547298752e-06
9,-3.0995578128566663,9.33809414621696e-06
10,-3.0992953568466666,9.949076238715588e-06
11,-3.099047785183333,6.329805034638815e-06
12,-3.098789554003333,6.279570530395928e-06
13,-3.098516585756667,1.0262822939674922e-05
14,-3.0982544636066662,1.2162431841817722e-05
15,-3.0980024358133336,1.2408999138404733e-05
16,-3.0977494220466664,1.367161786963559e-05
17,-3.0974783713366665,1.1692244858014872e-05
18,-3.0972282206600004,1.2164674426070755e-05
19,-3.0969647103533333,1.4112873399726457e-05
20,-3.09670479386,1.4071760388078132e-05
21,-3.096441680213333,1.570424535420266e-05
22,-3.09616636303,1.626191084758741e-05
23,-3.0959154801066666,1.5839805734237518e-05
24,-3.0956578609,1.609953622260684e-05
25,-3.095372343503333,2.1195681734191447e-05
26,-3.095114468523333,2.204003200701001e-05
27,-3.094856741256667,2.18680412932281e-05
28,-3.0946090003900006,2.0753028916202768e-05
29,-3.094331355923334,2.405613557965365e-05
30,-3.0940724384633334,2.5408333326350586e-05
31,-3.093850103453333,1.6407347843497513e-05
32,-3.09352349857,2.7891402391453628e-05
33,-3.0933172227,1.9509045229816544e-05
34,-3.0930453499,2.2517087600979637e-05
35,-3.09277824941,2.1790039189033732e-05
36,-3.09251861067,2.742347554610884e-05
37,-3.0922337374,3.031424558935653e-05
38,-3.09202345534,1.778533665035454e-05
39,-3.091763071186667,1.8646701107481385e-05
40,-3.09150804309,2.0237974959251613e-05
41,-3.09124097232,1.844042014980161e-05
42,-3.09098686803,1.4154789170153312e-05
43,-3.0907055171033333,1.7599831341193774e-05
44,-3.090424725996667,2.8842354778025367e-05
45,-3.0901975038133327,2.2709507321557345e-05
46,-3.0899748565800005,1.3876442346314092e-05
47,-3.0896975300966667,1.4673283611339585e-05
48,-3.08941251865,2.397760129895069e-05
49,-3.089163974116667,1.6006233103019958e-05
50,-3.08892139872,1.7923620024716083e-05
51,-3.08862689585,2.9731395241996924e-05
52,-3.0883958548366666,1.5534268077317002e-05
53,-3.088102876893333,1.9856353131745373e-05
54,-3.087817071516666,3.754491043077616e-05
55,-3.0875609386700003,2.5862360699183955e-05
56,-3.087327383056666,1.826046506967758e-05
57,-3.08706170523,2.456619723972712e-05
58,-3.0868228078533333,2.2624896856070792e-05
59,-3.086521617206666,3.160012056244729e-05
60,-3.086307357706667,1.7963749336879087e-05
61,-3.085987554816667,2.885642244356292e-05
62,-3.085691858,2.5411809800535627e-05
63,-3.08551603151,2.063693991980698e-05
64,-3.08516418273,3.728098143036001e-05
65,-3.084939113803334,3.413708298229742e-05
66,-3.084690084473334,3.2438423343417874e-05
67,-3.0844135083133337,2.270937329158121e-05
68,-3.084177689733333,2.3675591696269105e-05
69,-3.08389579256,3.228733514686565e-05
70,-3.0836761518366664,2.509365877831802e-05
71,-3.0833946746766663,3.151559882590246e-05
72,-3.083135748383333,3.0449155730614825e-05
73,-3.0829098818333334,2.177327731766071e-05
74,-3.08259398485,2.660762742262646e-05
75,-3.082397316943333,2.749294687164604e-05
76,-3.08201904326,3.869964374116921e-05
77,-3.081824654813333,1.830664967571057e-05
78,-3.08153956175,3.0597821436237226e-05
79,-3.081342616513333,2.336096451171981e-05
80,-3.081045247946666,2.441231499208613e-05
81,-3.0808236208266666,1.821002589047978e-05
82,-3.0805524721166666,2.6405805329030203e-05
83,-3.0802524889133336,2.7998962584162378e-05
84,-3.0799718165700005,3.289528599334734e-05
85,-3.079722142913333,2.9643984118583365e-05
86,-3.0795167143000004,2.6566559098737687e-05
87,-3.07931265045,1.8399471774926503e-05
88,-3.0790198065933336,1.870008041284112e-05
89,-3.0786939110533336,3.823945877902824e-05
90,-3.07842520737,3.1707207729843736e-05
91,-3.078200783426667,2.5386286381784054e-05
92,-3.077896529946667,2.6660908116790057e-05
93,-3.0776636531,2.65909875812148e-05
94,-3.077368347623333,3.016127298240083e-05
95,-3.077205309183334,2.204080223914217e-05
96,-3.07686865697,2.7521673092281245e-05
97,-3.0766172753666674,2.3355429982764816e-05
98,-3.0763775005866663,2.344237116477252e-05
99,-3.07608849408,3.0195316820023885e-05
100,-3.0757915652966665,2.8886339482025872e-05
101,-3.07560866073,2.207159542386895e-05
102,-3.075265753976667,2.428892476278796e-05
103,-3.07507886736,2.063710219141064e-05
104,-3.07479604959,3.488454392598408e-05
105,-3.0745386765866667,2.5226963534701247e-05
106,-3.07427344812,2.421694348505757e-05
107,-3.0740026185033327,3.252832837685975e-05
108,-3.073752123203333,3.060238285507181e-05
109,-3.0735032443166665,2.6997961101347304e-05
110,-3.0732235053466668,2.5572213382236826e-05
111,-3.072968351323333,2.675640928356904e-05
112,-3.072723351786666,2.523074388697358e-05
113,-3.0724518462733337,2.6251695480627488e-05
114,-3.0721802969666667,3.3505365492757314e-05
115,-3.071928966253333,2.7920254754734967e-05
116,-3.0716650905533336,2.7233871803718607e-05
117,-3.0713950682266677,2.892864040571779e-05
118,-3.071172412963334,2.4911877233777917e-05
119,-3.0709045195033333,2.5454316539048957e-05
120,-3.070606775053333,3.052807649411582e-05
121,-3.0703880502966663,2.6039590628051745e-05
122,-3.0701121434033336,2.746935362074266e-05
123,-3.06697331403,2.9182886496581878e-05
124,-3.0695376823033333,3.0835880689450144e-05
125,-3.0692850482,2.794178068520319e-05
126,-3.0690632805966667,3.2181339697894016e-05
127,-3.0659358902000005,2.76609027009496e-05
128,-3.0685351691166667,3.5734359343381284e-05
129,-3.0683015270666667,3.103522517040747e-05
130,-3.06801048939,3.0194239101241697e-05
131,-3.0677300794300004,3.1823791021251474e-05
132,-3.0646019126600006,3.053685498240226e-05
133,-3.0671511009300003,3.2685894204172164e-05
134,-3.06695155737,3.240732908358358e-05
135,-3.066652850476667,3.1519132075489266e-05
136,-3.0664147414266667,3.173796342861805e-05
137,-3.0661357447633337,3.208550654317249e-05
138,-3.06591705926,3.127334032601786e-05
139,-3.06564499037,3.08454381625785e-05
140,-3.0653676787233333,3.185907643713274e-05
141,-3.065080618273333,3.5954270422476365e-05
142,-3.061851708543333,3.1291156221012976e-05
143,-3.064526790743334,3.25226494974956e-05
144,-3.064244573596667,4.0837670745758776e-05
145,-3.0640602761866664,3.322767070069891e-05
146,-3.059026526313333,3.093748170155862e-05
147,-3.06355603779,3.269417923101169e-05
148,-3.0632556335499994,3.254374264873487e-05
149,-3.06014301104,3.7253192125229534e-05
150,-3.0627657496166667,3.506299430507231e-05
151,-3.0624893792766668,3.552499701839821e-05
152,-3.0622394765799994,3.3846020057424127e-05
153,-3.0619528539700003,3.5422903589028925e-05
154,-3.0617195237366666,3.343016784771568e-05
155,-3.061364944026667,3.844406750419712e-05
156,-3.0611512578566664,3.591995692868712e-05
157,-3.06090395558,3.481783541465382e-05
158,-3.0606621870466664,3.5511378969528657e-05
159,-3.0604172918366666,3.630247171929515e-05
160,-3.0600301900700004,4.425323500391202e-05
161,-3.059823063696667,3.9147213100719365e-05
162,-3.05675376636,3.776820700825882e-05
163,-3.05925611819,4.1105762712796567e-05
164,-3.058999424923333,3.776208265457349e-05
165,-3.0552281235233334,3.929733954375124e-05
