temperature,a,a error,c,c error
1,5.851064805026667,4.306462088854375e-06,3.21503560893,2.366308187708228e-06
2,5.8512236239633335,7.340705074576978e-06,3.215122876956667,4.033554101341566e-06
3,5.851352916816666,1.0203962648766748e-05,3.2151939207999995,5.606857854084003e-06
4,5.851377110696667,1.2219594623308313e-05,3.215207214116667,6.714403839321272e-06
5,5.85142492701,1.4492089339016609e-05,3.2152334886966667,7.963087511690043e-06
6,5.85169841519,1.7318780630354506e-05,3.215383764323333,9.516289040500446e-06
7,5.851610858796667,1.59503780164964e-05,3.2153356540133333,8.764397394994798e-06
8,5.851822581553333,2.4546388898860403e-05,3.21545199114,1.3487715480845045e-05
9,5.851804409826667,2.6197831311862813e-05,3.215442005843333,1.4395155028244016e-05
10,5.851838212533333,2.3167420809604424e-05,3.2154605799,1.2730005234894278e-05
11,5.852366806296667,2.959919353261293e-05,3.215751030756667,1.6264130157403202e-05
12,5.852506966443333,3.191871509554624e-05,3.21582804615,1.753865490132153e-05
13,5.85216855396,3.23601717288882e-05,3.2156420957033327,1.7781224198457405e-05
14,5.852181256216666,2.516867299918057e-05,3.21564907557,1.3829645644976025e-05
15,5.852237952283334,3.045736221422561e-05,3.215680228456667,1.673567254254683e-05
16,5.852590932786667,4.109270028173412e-05,3.2158741837166667,2.257956841252947e-05
17,5.852562811466666,3.2083658484510473e-05,3.215858731393334,1.762929901363046e-05
18,5.852641884466666,4.202573656078899e-05,3.215902180543333,2.3092248358086435e-05
19,5.85283033929,4.179968031288791e-05,3.2160057324966664,2.296803958789602e-05
20,5.852945885733333,4.030612001102292e-05,3.21606922285,2.214736008470248e-05
21,5.8529084432100005,4.41145993395942e-05,3.21604864918,2.424003027643292e-05
22,5.852841723926666,4.853486596412396e-05,3.2160119883166667,2.6668863023025232e-05
23,5.852842756536667,4.46655240626692e-05,3.21601255568,2.4542761479576e-05
24,5.852902169113333,5.726822846513085e-05,3.2160452015900005,3.146766556434211e-05
25,5.85233355004,7.391241223801611e-05,3.2157327573,4.061331741985737e-05
26,5.852393135573333,6.751565887477256e-05,3.2157654983866664,3.7098416685590494e-05
27,5.852719481206666,8.071050978258507e-05,3.215944818426667,4.434869361793639e-05
28,5.85304046217,4.72228911463863e-05,3.2161211905133333,2.5947971737070968e-05
29,5.852587725166666,7.994233316295384e-05,3.2158724208566665,4.392662841548252e-05
30,5.852863961783333,7.089062228677314e-05,3.216024207086667,3.895288210085498e-05
31,5.853769761380001,7.139727728775437e-05,3.21652192508,3.923129603454264e-05
32,5.852565249786668,8.996508405749984e-05,3.21586007139,4.943389233918118e-05
33,5.85375185211,7.702575670107757e-05,3.216512083846667,4.23240352604798e-05
34,5.8535079053266665,8.014129785812547e-05,3.216378040496666,4.403593398263684e-05
35,5.85360180401,6.613965990258856e-05,3.2164296360433333,3.634232915164392e-05
36,5.85323803088,9.421783180088346e-05,3.216229750256667,5.177071636116008e-05
37,5.852887183476667,8.884952992034367e-05,3.2160369671700004,4.882094739042056e-05
38,5.854370683143333,7.501426274020978e-05,3.2168521188400003,4.121875778451864e-05
